"2015-06-16T16:03:20.943043-05:00 radius4.big.campus.edu radius.auth1[2185]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 189 (0s wait, 0s elapsed, 0s total)"
"2015-06-16T14:41:51.620417-05:00 radius3.big.campus.edu radius.auth1[17149]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.214:00-90-0B-2E-CC-3F:832i-CampusNet id 156 (0s wait, 0s elapsed, 0s total)"
"2015-06-16T14:21:33.907412-05:00 radius3.big.campus.edu radius.auth1[17149]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.214:00-90-0B-2E-CC-3F:832i-CampusNet id 222 (0s wait, 0s elapsed, 0s total)"
"2015-06-16T12:59:59.781989-05:00 radius3.big.campus.edu radius.auth1[17149]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.214:00-90-0B-2E-CC-3F:832i-CampusNet id 143 (0s wait, 0s elapsed, 0s total)"
"2015-06-16T12:57:08.267100-05:00 radius3.big.campus.edu radius.auth1[17149]:  [wireless] Auth FAIL for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.214:00-90-0B-2E-CC-3F:832i-CampusNet id 172 (0s wait, 0s elapsed, 30s total) because: EAP PEAP TLS read failed"
"2015-06-16T12:51:26.163918-05:00 radius4.big.campus.edu radius.auth1[2185]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 234 (0s wait, 0s elapsed, 0s total)"
"2015-06-16T11:02:53.790161-05:00 radius4.big.campus.edu radius.auth1[2185]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 19 (0s wait, 0s elapsed, 0s total)"
"2015-06-16T09:58:37.459683-05:00 radius4.big.campus.edu radius.auth1[2185]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 212 (0s wait, 0s elapsed, 0s total)"
"2015-06-16T09:54:49.424987-05:00 radius4.big.campus.edu radius.auth1[2185]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 119 (0s wait, 0s elapsed, 0s total)"
"2015-06-16T09:54:05.787437-05:00 radius4.big.campus.edu radius.auth1[2185]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 153 (0s wait, 0s elapsed, 0s total)"
